Date,Transaction Description,Debit,Credit,Balance,Category 1,Category 2,Category 3,DR/CR
2022-01-17,The Baxter Inn ,122,0,1597,Expense,Leisure & Lifestyle,Pubs & Bars,DR
2022-01-18,Adairs ,11,0,1586,Expense,Household,"Furniture, Electronics & Homewares",DR
2022-01-18,BrewDog ,154,0,1432,Expense,Leisure & Lifestyle,Alcohol,DR
2022-01-18, National Bank ,78,0,1354,Expense,Personal,Fees & Charges,DR
2022-01-18,MyCar Tyre & Auto ,133,0,1221,Expense,Transport,"Car Insurance, Rego & Maintenance",DR
2022-01-19,Surf Dive 'n Ski ,60,0,1161,Expense,Personal,Clothing & Accessories,DR
2022-01-19,McDonald’s ,47,0,1114,Expense,Leisure & Lifestyle,Takeaway,DR
2022-01-20,The Espy ,78,0,1036,Expense,Leisure & Lifestyle,Pubs & Bars,DR
2022-01-20, EnergyAustralia ,76,0,960,Expense,Household,Utilities,DR
2022-01-21,OfficeMax ,55,0,905,Expense,Personal,Life Admin,DR
2022-01-22,AustralianSuper Pension ,57,0,848,Income,Income,Other Income,DR
2022-01-22,Montessori Schools ,52,0,796,Expense,Personal,Education,DR
2022-01-22,Disney+ ,32,0,764,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",DR
2022-01-22,Child Support Agency Deposit ,23,0,741,Income,Income,Other Income,DR
2022-01-23,Airbnb Host Income ,41,0,700,Income,Income,Other Income,DR
2022-01-23,Medicare Claim ,61,0,639,Expense,Personal,Health & Medical,DR
2022-01-23,Bridgestone Select ,52,0,587,Expense,Transport,"Car Insurance, Rego & Maintenance",DR
2022-01-23,Camp Australia ,8,0,579,Expense,Leisure & Lifestyle,Hobbies,DR
2022-01-24,Kmart ,29,0,550,Expense,Personal,Children & Family,DR
2022-01-24, Jim's Mowing ,28,0,522,Expense,Household,Maintenance & Improvements,DR
2022-01-25,Westpac Dividend Deposit ,9,0,513,Income,Income,Investments,DR
2022-01-25,Westpac Dividend Deposit ,8,0,505,Income,Income,Investments,DR
2022-01-25,Service NSW ,30,0,475,Expense,Transport,"Car Insurance, Rego & Maintenance",DR
2022-01-25,Binge ,18,0,457,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",DR
2022-01-27,VetLove ,20,0,437,Expense,Household,Pets,DR
2022-01-27,Hobart Brewing Company ,42,0,395,Expense,Leisure & Lifestyle,Pubs & Bars,DR
2022-01-27,The Australian ,5,0,390,Expense,Personal,Education,DR
2022-01-28,Surfstitch ,27,0,363,Expense,Personal,Clothing & Accessories,DR
2022-01-28,The Coffee Club ,8,0,355,Expense,Leisure & Lifestyle,Restaurants & Cafes,DR
2022-01-28,Culture Kings ,33,0,322,Expense,Personal,Clothing & Accessories,DR
2022-02-01,Monthly Income,0,6542,6864,Income,Income,Wages,CR
2022-02-04,F45 Training ,26,0,6838,Expense,Personal,Fitness & Wellbeing,DR
2022-02-04,Priceline Pharmacy ,585,0,6253,Expense,Personal,Health & Medical,DR
2022-02-05,Swim Australia ,75,0,6178,Expense,Personal,Fitness & Wellbeing,DR
2022-02-06,Payday Advance ,9,0,6169,Income,Income,Other Income,DR
2022-02-06,Eat Street Northshore ,343,0,5826,Expense,Leisure & Lifestyle,Pubs & Bars,DR
2022-02-07,Massage Therapy Center ,182,0,5644,Expense,Personal,Health & Medical,DR
2022-02-08,Endota Spa ,53,0,5591,Expense,Personal,Fitness & Wellbeing,DR
2022-02-09,F45 Training ,288,0,5303,Expense,Personal,Fitness & Wellbeing,DR
2022-02-09,Karate for Kids ,266,0,5037,Expense,Personal,Fitness & Wellbeing,DR
2022-02-10,Endota Spa ,444,0,4593,Expense,Personal,Fitness & Wellbeing,DR
2022-02-10,South East Water ,35,0,4558,Expense,Household,Utilities,DR
2022-02-11,City Beach ,409,0,4149,Expense,Personal,Clothing & Accessories,DR
2022-02-11,G8 Education ,251,0,3898,Expense,Personal,Children & Family,DR
2022-02-11, Jim's Mowing ,89,0,3809,Expense,Household,Maintenance & Improvements,DR
2022-02-14,PayPal Transfer from Sale ,70,0,3739,Income,Income,Other Income,DR
2022-02-15,Barbeques Galore ,356,0,3383,Expense,Household,"Furniture, Electronics & Homewares",DR
2022-02-16,Disney+ ,226,0,3157,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",DR
2022-02-17, Ray White Real Estate ,32,0,3125,Expense,Personal,Life Admin,DR
2022-02-17,Surf Dive 'n Ski ,304,0,2821,Expense,Personal,Clothing & Accessories,DR
2022-02-18,Origin Energy ,159,0,2662,Expense,Household,Utilities,DR
2022-02-18,KU Children's Services ,41,0,2621,Expense,Personal,Children & Family,DR
2022-02-19,Specsavers ,5,0,2616,Expense,Personal,Health & Medical,DR
2022-02-20,King Swim ,62,0,2554,Expense,Personal,Fitness & Wellbeing,DR
2022-02-20,Witchery ,102,0,2452,Expense,Personal,Clothing & Accessories,DR
2022-02-20,Microsoft 365 ,210,0,2242,Expense,Personal,Education,DR
2022-02-20,The Athlete's Foot ,221,0,2021,Expense,Personal,Clothing & Accessories,DR
2022-02-21,Repco ,42,0,1979,Expense,Transport,"Car Insurance, Rego & Maintenance",DR
2022-02-21,Beachfront Markets ,55,0,1924,Expense,Personal,Clothing & Accessories,DR
2022-02-22,VetLove ,164,0,1760,Expense,Household,Pets,DR
2022-02-22,Greencross Vets ,146,0,1614,Expense,Household,Pets,DR
2022-02-22,Chemist Warehouse ,106,0,1508,Expense,Personal,Health & Medical,DR
2022-02-23,Optus ,93,0,1415,Expense,Personal,Mobile Phone,DR
2022-02-23,City Beach ,131,0,1284,Expense,Personal,Clothing & Accessories,DR
2022-02-24,Endota Spa ,8,0,1276,Expense,Personal,Fitness & Wellbeing,DR
2022-02-25,Microsoft 365 ,75,0,1201,Expense,Personal,Education,DR
2022-02-26,Jetts Fitness ,117,0,1084,Expense,Personal,Fitness & Wellbeing,DR
2022-02-28,Kayo Sports ,52,0,1032,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",DR
2022-02-28,Harris Farm Markets ,16,0,1016,Expense,Household,Groceries,DR
2022-02-28,Disney+ ,86,0,930,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",DR
2022-03-01,Monthly Income,0,6542,7472,Income,Income,Wages,CR
2022-03-03,Quay Restaurant ,545,0,6927,Expense,Leisure & Lifestyle,Pubs & Bars,DR
2022-03-03,Karate for Kids ,44,0,6883,Expense,Personal,Fitness & Wellbeing,DR
2022-03-03,Telstra ,157,0,6726,Expense,Personal,Mobile Phone,DR
2022-03-03,Boost Juice Bars ,171,0,6555,Expense,Leisure & Lifestyle,Takeaway,DR
2022-03-04,Adairs ,622,0,5933,Expense,Household,"Furniture, Electronics & Homewares",DR
2022-03-05,Acupuncture Clinic ,394,0,5539,Expense,Personal,Health & Medical,DR
2022-03-06,Costco ,270,0,5269,Expense,Household,Groceries,DR
2022-03-06,Endota Spa ,129,0,5140,Expense,Personal,Fitness & Wellbeing,DR
2022-03-07,Fernwood Fitness ,471,0,4669,Expense,Personal,Fitness & Wellbeing,DR
2022-03-07,Queensland Urban Utilities ,274,0,4395,Expense,Household,Utilities,DR
2022-03-07,Endota Spa ,383,0,4012,Expense,Personal,Fitness & Wellbeing,DR
2022-03-07,Origin Energy ,133,0,3879,Expense,Household,Utilities,DR
2022-03-07,Ultra Tune ,88,0,3791,Expense,Transport,"Car Insurance, Rego & Maintenance",DR
2022-03-08,Surfstitch ,52,0,3739,Expense,Personal,Clothing & Accessories,DR
2022-03-08,Airbnb Host Income ,13,0,3726,Income,Income,Other Income,DR
2022-03-09,Camp Australia ,333,0,3393,Expense,Leisure & Lifestyle,Hobbies,DR
2022-03-09, Brisbane City Council ,224,0,3169,Expense,Household,Rates & Insurance,DR
2022-03-09,Timezone ,162,0,3007,Expense,Leisure & Lifestyle,Entertainment,DR
2022-03-10,Café Nero ,99,0,2908,Expense,Leisure & Lifestyle,Restaurants & Cafes,DR
2022-03-12,Cookie ,155,0,2753,Expense,Leisure & Lifestyle,Pubs & Bars,DR
2022-03-12,Centrelink JobSeeker Payment ,26,0,2727,Income,Income,Other Income,DR
2022-03-13,Beachside Yoga Classes ,209,0,2518,Expense,Personal,Fitness & Wellbeing,DR
2022-03-14,Target ,194,0,2324,Expense,Personal,Clothing & Accessories,DR
2022-03-16,Muffin Break ,116,0,2208,Expense,Leisure & Lifestyle,Restaurants & Cafes,DR
2022-03-16,Acupuncture Clinic ,187,0,2021,Expense,Personal,Health & Medical,DR
2022-03-17,QBE Insurance Claim Payout ,202,0,1819,Income,Income,Other Income,DR
2022-03-17,Stand Up Paddleboard Rental ,22,0,1797,Expense,Personal,Fitness & Wellbeing,DR
2022-03-17,Eat Street Northshore ,166,0,1631,Expense,Leisure & Lifestyle,Pubs & Bars,DR
2022-03-17,Who Gives A Crap ,131,0,1500,Expense,Household,Groceries,DR
2022-03-17,Cookie ,87,0,1413,Expense,Leisure & Lifestyle,Pubs & Bars,DR
2022-03-17,Physiotherapy Clinic ,19,0,1394,Expense,Personal,Health & Medical,DR
2022-03-18,The Australian ,40,0,1354,Expense,Personal,Education,DR
2022-03-18,Le Creuset ,5,0,1349,Expense,Household,"Furniture, Electronics & Homewares",DR
2022-03-18,Airbnb Host Income ,85,0,1264,Income,Income,Other Income,DR
2022-03-18,Pathology Lab ,25,0,1239,Expense,Personal,Health & Medical,DR
2022-03-18,G8 Education ,84,0,1155,Expense,Personal,Children & Family,DR
2022-03-19,EnergyAustralia ,67,0,1088,Expense,Household,Utilities,DR
2022-03-19,Menulog ,93,0,995,Expense,Leisure & Lifestyle,Takeaway,DR
2022-03-19,BWS ,9,0,986,Expense,Leisure & Lifestyle,Alcohol,DR
2022-03-19,Acupuncture Clinic ,13,0,973,Expense,Personal,Health & Medical,DR
2022-03-19,Muffin Break ,52,0,921,Expense,Leisure & Lifestyle,Restaurants & Cafes,DR
2022-03-20,Origin Energy ,65,0,856,Expense,Household,Utilities,DR
2022-03-21,Foxtel ,51,0,805,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",DR
2022-03-21,Ice Cream Parlour ,54,0,751,Expense,Leisure & Lifestyle,Takeaway,DR
2022-03-21,Domino’s Pizza ,52,0,699,Expense,Leisure & Lifestyle,Takeaway,DR
2022-03-22,Eau De Vie ,61,0,638,Expense,Leisure & Lifestyle,Pubs & Bars,DR
2022-03-24,Domino’s Pizza ,50,0,588,Expense,Leisure & Lifestyle,Takeaway,DR
2022-03-25,Apple Music ,38,0,550,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",DR
2022-03-26,F45 Training ,25,0,525,Expense,Personal,Fitness & Wellbeing,DR
2022-03-27,Billabong ,42,0,483,Expense,Personal,Clothing & Accessories,DR
2022-03-28,Mathnasium ,9,0,474,Expense,Personal,Education,DR
2022-04-01,Monthly Income,0,6542,7016,Income,Income,Wages,CR
2022-04-02,Repco ,296,0,6720,Expense,Transport,"Car Insurance, Rego & Maintenance",DR
2022-04-02,Microsoft 365 ,68,0,6652,Expense,Personal,Education,DR
2022-04-03,VetLove ,397,0,6255,Expense,Household,Pets,DR
2022-04-04,Woolworths ,552,0,5703,Expense,Household,Groceries,DR
2022-04-04,The Iconic ,125,0,5578,Expense,Personal,Clothing & Accessories,DR
2022-04-06,Service NSW ,273,0,5305,Expense,Transport,"Car Insurance, Rego & Maintenance",DR
2022-04-07, NSW Land Registry Services ,188,0,5117,Expense,Personal,Life Admin,DR
2022-04-07,Interest Payment from Commonwealth Bank ,407,0,4710,Income,Income,Investments,DR
2022-04-07,Sunnybank Hotel ,455,0,4255,Expense,Leisure & Lifestyle,Pubs & Bars,DR
2022-04-08,Airbnb Host Income ,314,0,3941,Income,Income,Other Income,DR
2022-04-09,PayPal Transfer from Sale ,232,0,3709,Income,Income,Other Income,DR
2022-04-10,AGL Energy ,232,0,3477,Expense,Household,Utilities,DR
2022-04-11,Optus ,121,0,3356,Expense,Personal,Mobile Phone,DR
2022-04-11,Booktopia ,42,0,3314,Expense,Leisure & Lifestyle,Hobbies,DR
2022-04-12,Local Hospital ,180,0,3134,Expense,Personal,Health & Medical,DR
2022-04-12,Stan ,201,0,2933,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",DR
2022-04-13,Optometrist ,166,0,2767,Expense,Personal,Health & Medical,DR
2022-04-13,VetLove ,187,0,2580,Expense,Household,Pets,DR
2022-04-14,David Jones ,210,0,2370,Expense,Personal,Clothing & Accessories,DR
2022-04-14, The Good Guys ,70,0,2300,Expense,Household,"Furniture, Electronics & Homewares",DR
2022-04-14,Domino’s Pizza ,29,0,2271,Expense,Leisure & Lifestyle,Takeaway,DR
2022-04-15,Green Slip Insurance ,126,0,2145,Expense,Transport,"Car Insurance, Rego & Maintenance",DR
2022-04-15,Centrelink JobSeeker Payment ,14,0,2131,Income,Income,Other Income,DR
2022-04-15,The Body Shop ,10,0,2121,Expense,Personal,Hair & Beauty,DR
2022-04-16,AustralianSuper Pension ,98,0,2023,Income,Income,Other Income,DR
2022-04-16,F45 Training ,136,0,1887,Expense,Personal,Fitness & Wellbeing,DR
2022-04-16,Medicare Claim ,179,0,1708,Expense,Personal,Health & Medical,DR
2022-04-16,Soccer Clubs ,106,0,1602,Expense,Personal,Fitness & Wellbeing,DR
2022-04-17,The Espy ,128,0,1474,Expense,Leisure & Lifestyle,Pubs & Bars,DR
2022-04-19, Meriton Apartments ,33,0,1441,Expense,Household,Rates & Insurance,DR
2022-04-21,Specsavers ,130,0,1311,Expense,Personal,Health & Medical,DR
2022-04-22,Audible ,66,0,1245,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",DR
2022-04-23,Hungry Jack’s ,23,0,1222,Expense,Leisure & Lifestyle,Takeaway,DR
2022-04-23,Jetts Fitness ,18,0,1204,Expense,Personal,Fitness & Wellbeing,DR
2022-04-23,Kayo Sports ,15,0,1189,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",DR
2022-04-24,The Iconic ,71,0,1118,Expense,Personal,Clothing & Accessories,DR
2022-04-24,Surf Dive 'n Ski ,9,0,1109,Expense,Personal,Clothing & Accessories,DR
2022-04-25,Billabong ,7,0,1102,Expense,Personal,Clothing & Accessories,DR
2022-04-25,Lorna Jane ,32,0,1070,Expense,Personal,Clothing & Accessories,DR
2022-04-26,Repco ,83,0,987,Expense,Transport,"Car Insurance, Rego & Maintenance",DR
2022-04-26,Greencross Vets ,47,0,940,Expense,Household,Pets,DR
2022-04-27,The Ivy ,73,0,867,Expense,Leisure & Lifestyle,Pubs & Bars,DR
2022-04-27,Sunburn Swimwear ,66,0,801,Expense,Personal,Clothing & Accessories,DR
2022-04-28,Autobarn ,35,0,766,Expense,Transport,"Car Insurance, Rego & Maintenance",DR
2022-05-01,Monthly Income,0,6542,7308,Income,Income,Wages,CR
2022-05-02,McDonald’s ,251,0,7057,Expense,Leisure & Lifestyle,Takeaway,DR
2022-05-02,eBay Sales Proceeds ,700,0,6357,Income,Income,Other Income,DR
2022-05-02,Grill’d ,33,0,6324,Expense,Leisure & Lifestyle,Takeaway,DR
2022-05-02,Harvey Norman ,441,0,5883,Expense,Household,"Furniture, Electronics & Homewares",DR
2022-05-02,Westpac Dividend Deposit ,58,0,5825,Income,Income,Investments,DR
2022-05-03,The Espy ,208,0,5617,Expense,Leisure & Lifestyle,Pubs & Bars,DR
2022-05-03,Netflix ,445,0,5172,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",DR
2022-05-04,EnergyAustralia ,385,0,4787,Expense,Household,Utilities,DR
2022-05-04,ABC Reading Eggs ,111,0,4676,Expense,Personal,Education,DR
2022-05-05,Kumon ,412,0,4264,Expense,Personal,Education,DR
2022-05-05,Ice Cream Parlour ,228,0,4036,Expense,Leisure & Lifestyle,Takeaway,DR
2022-05-06,Guzman y Gomez ,391,0,3645,Expense,Leisure & Lifestyle,Takeaway,DR
2022-05-06,Harvey Norman ,305,0,3340,Expense,Household,"Furniture, Electronics & Homewares",DR
2022-05-06,Guardian Childcare & Education ,277,0,3063,Expense,Personal,Children & Family,DR
2022-05-07,David Jones ,42,0,3021,Expense,Personal,Clothing & Accessories,DR
2022-05-08,Caltex ,215,0,2806,Expense,Transport,Fuel,DR
2022-05-09,The Good Guys ,147,0,2659,Expense,Household,"Furniture, Electronics & Homewares",DR
2022-05-09,Zarraffa's Coffee ,238,0,2421,Expense,Leisure & Lifestyle,Restaurants & Cafes,DR
2022-05-09,Little Athletics ,14,0,2407,Expense,Personal,Fitness & Wellbeing,DR
2022-05-09,Pizza Hut ,23,0,2384,Expense,Leisure & Lifestyle,Takeaway,DR
2022-05-10,Health Food Store ,228,0,2156,Expense,Personal,Fitness & Wellbeing,DR
2022-05-10,Repco ,22,0,2134,Expense,Transport,"Car Insurance, Rego & Maintenance",DR
2022-05-10,Ballet Schools ,175,0,1959,Expense,Personal,Fitness & Wellbeing,DR
2022-05-10, Meriton Apartments ,15,0,1944,Expense,Household,Rates & Insurance,DR
2022-05-10,Mathnasium ,170,0,1774,Expense,Personal,Education,DR
2022-05-11,Tennis Australia ,125,0,1649,Expense,Personal,Fitness & Wellbeing,DR
2022-05-11,Fernwood Fitness ,64,0,1585,Expense,Personal,Fitness & Wellbeing,DR
2022-05-11,Disney+ ,75,0,1510,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",DR
2022-05-12,Dymocks ,30,0,1480,Expense,Leisure & Lifestyle,Hobbies,DR
2022-05-12,Sydney Water ,93,0,1387,Expense,Household,Utilities,DR
2022-05-13,VetLove ,37,0,1350,Expense,Household,Pets,DR
2022-05-14, Brisbane City Council ,14,0,1336,Expense,Household,Rates & Insurance,DR
2022-05-15,Chinatown Night Market ,11,0,1325,Expense,Leisure & Lifestyle,Pubs & Bars,DR
2022-05-15,Witchery ,132,0,1193,Expense,Personal,Clothing & Accessories,DR
2022-05-15,Beachside Yoga Classes ,26,0,1167,Expense,Personal,Fitness & Wellbeing,DR
2022-05-16,Microsoft 365 ,18,0,1149,Expense,Personal,Education,DR
2022-05-16,BWS ,88,0,1061,Expense,Leisure & Lifestyle,Alcohol,DR
2022-05-17,EB Games ,60,0,1001,Expense,Leisure & Lifestyle,"Apps, Games & Software",DR
2022-05-19,National Hearing Care ,16,0,985,Expense,Personal,Health & Medical,DR
2022-05-19,Costco ,12,0,973,Expense,Household,Groceries,DR
2022-05-19,Physiotherapy Clinic ,68,0,905,Expense,Personal,Health & Medical,DR
2022-05-19,Apple Music ,79,0,826,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",DR
2022-05-21, Brisbane City Council ,44,0,782,Expense,Household,Rates & Insurance,DR
2022-05-21,Catholic Education Office ,27,0,755,Expense,Personal,Education,DR
2022-05-22,Liquorland ,12,0,743,Expense,Leisure & Lifestyle,Alcohol,DR
2022-05-22,Beachside Yoga Classes ,38,0,705,Expense,Personal,Fitness & Wellbeing,DR
2022-05-22,TerryWhite Chemmart ,19,0,686,Expense,Personal,Health & Medical,DR
2022-05-24,Muffin Break ,10,0,676,Expense,Leisure & Lifestyle,Restaurants & Cafes,DR
2022-05-24,Adobe Creative Cloud ,11,0,665,Expense,Leisure & Lifestyle,Hobbies,DR
2022-05-24,Priceline Pharmacy ,62,0,603,Expense,Personal,Health & Medical,DR
2022-05-26,Sydney Water ,44,0,559,Expense,Household,Utilities,DR
2022-05-26,Caltex ,44,0,515,Expense,Transport,Fuel,DR
2022-05-26,Kmart ,26,0,489,Expense,Personal,Children & Family,DR
2022-05-27,Guzman y Gomez ,22,0,467,Expense,Leisure & Lifestyle,Takeaway,DR
2022-05-27,Melbourne Central Lion Hotel ,28,0,439,Expense,Leisure & Lifestyle,Pubs & Bars,DR
2022-05-27,Officeworks ,32,0,407,Expense,Personal,Life Admin,DR
2022-05-28,Australian Veterinary Association ,39,0,368,Expense,Household,Pets,DR
2022-05-28,Petbarn ,29,0,339,Expense,Household,Pets,DR
2022-06-01,Monthly Income,0,6542,6881,Income,Income,Wages,CR
2022-06-02,Caltex Woolworths ,206,0,6675,Expense,Transport,Fuel,DR
2022-06-02,Zarraffa's Coffee ,290,0,6385,Expense,Leisure & Lifestyle,Restaurants & Cafes,DR
2022-06-02,Beachside Yoga Classes ,62,0,6323,Expense,Personal,Fitness & Wellbeing,DR
2022-06-02,Soccer Clubs ,238,0,6085,Expense,Personal,Fitness & Wellbeing,DR
2022-06-03,Dan Murphy’s ,268,0,5817,Expense,Leisure & Lifestyle,Alcohol,DR
2022-06-03,Surfstitch ,36,0,5781,Expense,Personal,Clothing & Accessories,DR
2022-06-03,Netflix ,323,0,5458,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",DR
2022-06-06,Zarraffa's Coffee ,368,0,5090,Expense,Leisure & Lifestyle,Restaurants & Cafes,DR
2022-06-06,Crown Perth ,250,0,4840,Expense,Leisure & Lifestyle,Pubs & Bars,DR
2022-06-07,KU Children's Services ,48,0,4792,Expense,Personal,Children & Family,DR
2022-06-07,Upwork Freelancer Payment ,329,0,4463,Income,Income,Other Income,DR
2022-06-09,Shell V Power,361,0,4102,Expense,Transport,Fuel,DR
2022-06-09,Montessori Schools ,183,0,3919,Expense,Personal,Education,DR
2022-06-10,Kayo Sports ,221,0,3698,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",DR
2022-06-10, EnergyAustralia ,69,0,3629,Expense,Household,Utilities,DR
2022-06-10,Snap Fitness ,92,0,3537,Expense,Personal,Fitness & Wellbeing,DR
2022-06-11,Witchery ,162,0,3375,Expense,Personal,Clothing & Accessories,DR
2022-06-12,Hungry Jack’s ,228,0,3147,Expense,Leisure & Lifestyle,Takeaway,DR
2022-06-12,Childcare Payments ,262,0,2885,Expense,Personal,Children & Family,DR
2022-06-12,Australian Veterinary Association ,226,0,2659,Expense,Household,Pets,DR
2022-06-13,The Ivy ,231,0,2428,Expense,Leisure & Lifestyle,Pubs & Bars,DR
2022-06-13,Service NSW ,114,0,2314,Expense,Transport,"Car Insurance, Rego & Maintenance",DR
2022-06-14, National Bank ,209,0,2105,Expense,Personal,Fees & Charges,DR
2022-06-15,NRMA Roadside Assistance ,31,0,2074,Expense,Transport,"Car Insurance, Rego & Maintenance",DR
2022-06-16,Little Athletics ,180,0,1894,Expense,Personal,Fitness & Wellbeing,DR
2022-06-18,Zone Bowling ,152,0,1742,Expense,Leisure & Lifestyle,Entertainment,DR
2022-06-18,BrewDog ,158,0,1584,Expense,Leisure & Lifestyle,Alcohol,DR
2022-06-19,Rooftop Bar ,144,0,1440,Expense,Leisure & Lifestyle,Pubs & Bars,DR
2022-06-20,Kmart ,13,0,1427,Expense,Personal,Children & Family,DR
2022-06-21,Goodstart Early Learning ,88,0,1339,Expense,Personal,Children & Family,DR
2022-06-22,BP ,93,0,1246,Expense,Transport,Fuel,DR
2022-06-22,Bridgestone Select ,30,0,1216,Expense,Transport,"Car Insurance, Rego & Maintenance",DR
2022-06-23, Meriton Apartments ,31,0,1185,Expense,Household,Rates & Insurance,DR
2022-06-24, Jim’s Building Inspections ,16,0,1169,Expense,Household,Maintenance & Improvements,DR
2022-06-24,Spotify ,40,0,1129,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",DR
2022-06-24, Slater and Gordon Lawyers ,62,0,1067,Expense,Personal,Life Admin,DR
2022-06-25,Booktopia ,79,0,988,Expense,Leisure & Lifestyle,Hobbies,DR
2022-06-25,Guzman y Gomez ,75,0,913,Expense,Leisure & Lifestyle,Takeaway,DR
2022-06-25,Hobart Brewing Company ,81,0,832,Expense,Leisure & Lifestyle,Pubs & Bars,DR
2022-06-25,Fitness First ,15,0,817,Expense,Personal,Fitness & Wellbeing,DR
2022-06-25,Beacon Lighting ,75,0,742,Expense,Household,Maintenance & Improvements,DR
2022-06-26,Anytime Fitness ,41,0,701,Expense,Personal,Fitness & Wellbeing,DR
2022-06-26,School Locker ,43,0,658,Expense,Personal,Children & Family,DR
2022-06-26,Westpac Dividend Deposit ,60,0,598,Income,Income,Investments,DR
2022-07-01,Monthly Income,0,6542,7140,Income,Income,Wages,CR
2022-07-02,Queensland Urban Utilities ,485,0,6655,Expense,Household,Utilities,DR
2022-07-02,City Beach ,116,0,6539,Expense,Personal,Clothing & Accessories,DR
2022-07-02,Childcare Payments ,397,0,6142,Expense,Personal,Children & Family,DR
2022-07-02,Dan Murphy’s ,419,0,5723,Expense,Leisure & Lifestyle,Alcohol,DR
2022-07-02,The Body Shop ,535,0,5188,Expense,Personal,Hair & Beauty,DR
2022-07-03,Myer ,38,0,5150,Expense,Personal,Clothing & Accessories,DR
2022-07-04,Palace Cinemas ,397,0,4753,Expense,Leisure & Lifestyle,Entertainment,DR
2022-07-05,Optometrist ,375,0,4378,Expense,Personal,Health & Medical,DR
2022-07-05,Sea Kayak Tours ,197,0,4181,Expense,Leisure & Lifestyle,Holidays & Travel,DR
2022-07-06,Ice Cream Parlour ,260,0,3921,Expense,Leisure & Lifestyle,Takeaway,DR
2022-07-06,Liquorland ,89,0,3832,Expense,Leisure & Lifestyle,Alcohol,DR
2022-07-07,Guardian Childcare & Education ,380,0,3452,Expense,Personal,Children & Family,DR
2022-07-07,Medicare Claim ,46,0,3406,Expense,Personal,Health & Medical,DR
